,GSM1437802,GSM1437804,GSM1437806,GSM1437808,GSM1437812,GSM1437814,GSM1437816,GSM1437818,GSM1437820,GSM1437822,GSM1437824,GSM1437826,GSM1437828,GSM1437830,GSM1437833,GSM1437835,GSM1437837,GSM1437839,GSM1437841,GSM1437843,GSM1437847,GSM1437849,GSM1437851,GSM1437853,GSM1437855,GSM1437859,GSM1437863,GSM1437865,GSM1437867,GSM1437869,GSM1437871,GSM1437873,GSM1437875,GSM1437877,GSM1437882,GSM1437884,GSM1437890,GSM1437892,GSM1437896,GSM1437900,GSM1437902,GSM1437904,GSM1437906,GSM1437912,GSM1437914,GSM1437916,GSM1437918,GSM1437920,GSM1437923,GSM1437925,GSM1437929,GSM1437931,GSM1437933,GSM1437939,GSM1437941,GSM1437948,GSM1437950,GSM1437954,GSM1437956,GSM1437958,GSM1437962,GSM1437964,GSM1437966,GSM1437970,GSM1437972,GSM1437974,GSM1437976,GSM1437982,GSM1437984,GSM1437988,GSM1437990,GSM1437994,GSM1437996,GSM1437998,GSM1438000,GSM1438002,GSM1438004,GSM1438006,GSM1438008,GSM1438010,GSM1438012,GSM1438016,GSM1438018,GSM1438020,GSM1438024,GSM1438030,GSM1438034,GSM1438036,GSM1438038,GSM1438040,GSM1438044,GSM1438064,GSM1438066,GSM1438068,GSM1438070,GSM1438076,GSM1438080,GSM1438084,GSM1438086,GSM1438088,GSM1438090,GSM1438092,GSM1438094,GSM1438098,GSM1438100,GSM1438102,GSM1438104,GSM1438106,GSM1438110,GSM1438112,GSM1438114,GSM1438116,GSM1438118,Sample_5,Sample_10,Sample_11,Sample_14,Sample_20,Sample_25,Sample_26,Sample_29,Tarca_834_P9B09,Tarca_827_P9C08,Tarca_849_P8A11,Tarca_145_P2A07,Tarca_153_P2A08,Tarca_672_P7H12,Tarca_648_P7H09_2,Tarca_617_P7A06,Tarca_622_P7F06,Tarca_618_P7B06,Tarca_667_P7C12,Tarca_334_P4F06,Tarca_381_P4E12,Tarca_754_P8B11,Tarca_745_P08A10,Tarca_612_P7D05,Tarca_584_P7H01_2,Tarca_640_P7H08,Tarca_820_P9D07,Tarca_782_P9F02,Tarca_752_P8H10,Tarca_241_P3A07,Tarca_236_P3D06,Tarca_233_P3A06,Tarca_588_P7D02,Tarca_611_P7C05,Tarca_591_P7G02,Tarca_258_P3B09,Tarca_255_P3G08,Tarca_252_P3D08,Tarca_542_P6F08,Tarca_566_P6F11,Tarca_557_P6E10
28475_at,13.01774056,11.57523208,6.472207351,11.92927229,7.416304308,12.82010676,12.36011,11.82528682,7.032534555,7.590311383,6.894059504,7.56670395,6.528193435,7.071012893,11.33277678,12.32457817,12.77161844,8.581744697,7.013902036,7.048993031,11.29742773,12.09755316,6.732385604,11.6086737,7.719077798,12.18814444,7.668428108,12.59302884,11.55757696,7.606306628,6.946427905,6.917604529,6.308127688,6.668333189,7.735378845,11.32110948,7.896500101,6.532993372,7.40506181,6.720220548,11.65993034,12.12812633,11.58698548,6.864890313,7.160922242,11.89895201,7.1048139,11.67083905,6.547656748,13.01434308,11.9148569,12.58731322,6.845118121,7.033421766,7.190009556,13.94343221,7.094452927,7.839011886,11.60580738,11.94573129,6.334088416,12.01266379,6.487185707,11.95042202,5.433643972,12.84383365,7.714410399,6.775943795,7.346420017,6.779586069,7.062496011,11.56356827,11.76692418,12.6998615,7.419196072,6.42453031,11.92534197,7.601784892,7.524426701,8.144183569,9.217523919,6.810874803,7.447782696,7.401275032,8.039460815,6.800822691,6.628198577,6.520803565,7.184936244,7.582339854,13.44340297,11.81661794,11.22261075,7.057937981,6.668064964,7.818097497,6.424808738,7.665761681,12.26926495,7.492417786,12.17027407,12.24004012,11.30201751,11.34139887,7.418663019,7.033421766,7.086374169,6.300491921,7.000045106,7.275280818,6.762715948,11.48343333,12.38360972,9.410413631,8.932710757,8.773263252,8.810073376,9.398449306,9.068682984,9.043047681,9.672091883,8.33897763,8.279906191,8.371243079,9.105794003,9.889439545,8.720189618,8.920209687,9.368087479,9.001374169,8.64623545,8.904551963,7.975234318,8.428333851,9.539607035,9.113215842,7.980984487,7.944216896,7.906018872,9.221977387,9.034389429,8.318233985,8.704915883,8.850486928,8.757507672,8.479481345,8.185114533,8.522125287,9.261673697,8.830275759,8.911467288,9.130309975,8.48953362,8.500433824
83857_at,6.334058929,4.694359082,6.118658455,4.149941152,5.509473606,5.004516409,4.132274809,6.698788314,3.931229351,5.595146597,2.944323542,4.787764499,2.100396705,2.872730297,3.643325265,5.625907157,5.075159917,6.516376647,4.488359432,6.262292855,5.618603779,4.747775637,6.882063501,5.090457754,3.897115483,6.051428702,3.574146698,6.00776557,5.212385506,6.294504535,6.071828836,4.636487307,5.059792241,5.480730525,4.716265641,3.232151108,4.581931812,3.987786854,4.604480738,4.332855935,4.754289811,5.092899482,5.425291779,5.827893041,2.772049864,4.330592261,5.964601308,6.099992649,2.997112557,4.072264701,5.742945812,3.892224674,6.006380166,5.932121897,6.679825717,5.512462317,6.807138592,6.254709245,5.529064381,5.301032742,4.487059607,4.358831009,5.865504713,6.337718434,6.495850567,3.105652837,6.563937991,4.885763116,5.122518634,5.912859071,6.325579388,5.524970679,5.896265045,5.07946661,5.509733637,5.908071535,3.094414261,4.905734628,6.821002126,4.755206174,5.413174707,2.26707887,5.48691848,6.130846347,6.035962575,4.287801151,5.820681501,5.429720698,3.111038388,5.895557526,4.761699279,6.602384571,4.983720051,6.320909404,4.606268909,5.522677316,6.312570664,4.947752039,4.378852025,4.373333855,5.436564389,6.010454984,4.673315679,4.755133097,5.557538865,6.464744885,5.166399347,3.57088891,4.426717203,4.865067801,5.5574535,6.822424687,5.642148351,4.727207441,5.311601489,5.29217687,5.091808683,4.745875487,5.210772175,5.1453573,5.073006544,6.586359935,6.831886505,6.576306766,5.929596492,6.537291194,5.173844364,5.052273916,5.026484484,5.021820851,4.998339494,4.963176415,5.273529673,5.004645934,4.566109861,4.472126911,4.99993832,4.969198539,4.845543778,4.520051321,4.546007821,5.080668357,4.440536459,4.529539161,4.480134028,5.334293673,5.619841955,5.218631879,4.35337441,4.322086324,4.419649255,4.368048335,4.296783314,4.346811215
100287029_at,7.820056069,7.207888204,7.800890907,5.09107218,5.500750151,6.268271557,8.226069086,6.922567416,6.862191198,8.4213231,5.391604865,7.575581246,6.709849416,7.685808054,8.100394082,8.548338083,4.704321347,8.039287959,6.90372534,8.346216987,8.089498445,8.24982795,5.649538172,8.263269557,7.889422586,5.941168012,7.70937356,7.563613649,7.710747082,8.153625646,7.245600655,7.740299484,7.752956975,8.175808889,4.904254753,8.276661007,8.325882214,6.368521728,7.968450141,7.898035782,6.270351599,8.182075828,7.636410501,5.617475579,7.972269723,5.513810471,8.436355473,7.400214829,7.126946771,7.389279485,8.19482617,7.996760597,8.463826265,8.098313726,8.629645984,6.158032006,8.048080972,5.336984617,7.647747909,7.875634363,8.373295058,8.014031167,7.49201357,6.12096181,6.797799743,6.095443142,7.134155859,8.809531042,5.382770712,8.442591988,7.249568072,8.283985168,7.998628151,7.829186647,5.846227108,7.365408383,8.651166534,7.980578747,8.938784199,8.580253726,7.515510168,8.154934957,8.284779802,8.444475363,7.219717684,8.219103307,8.070688048,5.267036029,8.300578223,4.636597753,7.709906287,7.300788004,5.719574602,8.168403664,7.81490753,5.574936339,5.04502096,8.546104521,7.28082053,5.521775454,7.49646392,8.14174704,8.527396208,6.857417034,5.637035488,7.683720607,4.718576468,6.284779288,7.607287811,8.839563829,7.99486311,5.94407279,8.724331638,6.605200768,7.401195192,7.497948115,7.19460204,8.076433337,7.853039017,8.557288805,6.404459825,9.377425167,8.626585774,8.241826319,7.095529107,6.466234286,7.739997871,7.453448563,6.665647965,6.864618621,6.704951853,6.497127694,8.958645694,8.236113169,6.350296984,6.433547835,8.670519853,9.179165777,9.595176876,6.003034436,5.787198674,8.47882247,6.713796966,7.086683532,6.939201143,7.887014271,8.363710925,8.333546016,7.050713059,6.498716987,6.582024573,8.073837377,7.262614086,7.240649914
57126_at,7.535017137,7.173402758,7.688483481,6.704024376,7.956810338,6.552590753,7.345535013,7.846203614,6.303165848,6.848481912,7.440118218,7.214685303,6.996643743,5.707342755,5.891138065,6.374849564,7.828282934,7.148906175,8.384676843,4.219541073,6.247239569,7.403995092,7.323364998,8.078376956,8.085295552,7.181375786,7.018982504,7.029698074,5.113194256,7.468856845,6.511515515,8.356943187,7.286077177,7.043452363,6.814687548,8.021094403,6.990566471,7.035049626,6.5352847,5.880945384,7.59257999,7.880368756,5.148030526,4.860237985,7.888440887,6.912511975,6.310558112,6.094493492,8.021622533,7.612588011,6.773708954,3.949344872,8.363654193,7.55679714,6.407800571,7.556459099,7.787375218,6.686834105,8.089626691,7.810178184,6.950614357,8.004553109,7.983390971,7.678055582,7.72680278,5.137181491,6.877021813,7.881483321,5.429558514,8.135030231,7.889064437,7.255310398,6.25014461,7.190516772,7.001931168,7.017887563,6.566730309,6.67886243,7.764882788,6.857579405,6.997516554,7.492849276,7.635513738,7.667278221,8.241549576,8.391988606,8.259581128,6.220341513,7.637870932,5.113408845,7.841831805,8.321700648,7.223977624,6.590524144,7.513849894,7.609063151,7.646335986,6.689274909,7.767333382,7.713465502,6.49255967,5.512216215,7.854716902,7.801349145,6.28581528,7.843740575,6.948328427,7.165186067,3.792811098,7.210801169,6.001044107,7.638549386,6.246640987,6.683667959,6.850775677,6.803996317,6.422014302,5.794571837,6.998695838,6.943754464,7.979476566,6.958357829,7.25313588,7.163346205,8.140102291,8.046750381,6.736236597,7.277685711,7.565951,7.086776324,7.006912351,6.823150877,6.659137465,7.101842791,6.69513652,7.501865316,5.880310039,6.719957282,6.11538962,6.684971171,6.8347435,8.300195962,6.890687295,7.084370422,6.792204861,6.506196545,7.102357295,6.664687101,8.195760958,7.428445295,9.109396802,6.407946247,6.222069276,6.830173514
4317_at,3.025212529,3.739532763,3.904326487,4.258483572,3.958920362,4.943850855,4.082159139,4.091416401,2.3972434,2.484952772,3.777337453,3.349822375,3.039257665,2.1090699,1.878623474,2.864073132,3.661579699,4.702330126,2.614802124,2.856738648,2.077655057,4.215815915,4.278857715,2.003829174,3.323904204,3.654381658,2.051716906,3.704566005,4.3871724,3.447287956,4.275243279,4.509807054,3.635713433,3.192139909,1.504737447,3.45965867,3.518106142,4.099170166,4.560015504,2.285013153,3.030720113,4.089848773,3.491197933,1.257954235,3.964438819,2.988124867,4.457726303,3.976564834,3.244079454,4.562426369,1.563829428,2.372346729,3.692930842,3.672873107,3.271194898,2.067698002,3.733125802,3.309290299,3.404028437,4.022251181,2.637788051,3.512683061,4.144639111,5.105652855,3.786493559,2.645312449,1.950333827,3.843970852,2.033124136,4.233888998,4.127900356,4.620798023,2.334772775,3.585986648,2.294927235,4.698932321,2.770419943,4.837207838,3.199542034,2.552702566,2.868720762,4.263556959,4.562426369,1.936178911,3.443267518,5.790996443,6.308212821,2.79527823,2.172513405,2.465420106,3.196327345,4.18433016,4.336964703,1.719733054,2.431840379,2.321535854,2.423159962,2.259138911,3.942413668,4.441291061,3.644989448,3.862774986,3.368936361,5.469734517,4.07197872,5.204454585,4.276849026,2.380027261,2.733319648,1.698063355,2.711070953,4.853746793,2.040614833,3.338827818,4.75311477,4.787900931,4.575918573,2.831218529,1.78957544,2.604087125,1.794434677,3.737755796,3.664126423,4.106955753,2.877041512,3.56986768,3.363641031,2.404587071,3.495659841,5.257192908,4.887986192,5.285938101,1.466119593,1.195942837,4.725027766,5.28133203,2.381953032,2.311680381,2.003587394,3.026126831,3.796498246,5.16325536,2.609179001,1.981242182,1.121679342,3.206585139,3.122777698,3.69494457,3.180811201,4.390673905,6.04782069,4.6881793,4.603190671,5.349666417
8781_at,5.249659513,5.111062257,2.676202882,2.602200747,3.930306,3.508559013,2.504534839,5.126330974,5.214833291,3.501763897,2.62618103,4.731871699,2.594201384,2.516260192,2.685234907,2.624360635,4.15202647,2.703349839,5.128979377,2.673461531,2.508288998,3.461723943,3.156457601,4.758348159,2.614514212,2.608369842,2.632319071,2.543570754,2.536055295,2.528769134,2.605658873,2.505414684,2.679932617,2.581007677,2.559247528,2.5303075,2.503116059,5.024707061,2.683430898,2.591643422,4.417371817,5.85017598,4.361606932,2.880567869,2.491235522,2.679932617,2.538426352,2.524465826,4.213631321,2.492856624,2.650068687,2.566980534,2.578547314,2.577948806,2.60686717,4.072420745,2.558696168,2.729086625,2.611590161,3.46256968,4.539683247,5.679399511,4.263140759,5.117339685,5.071770564,2.616995505,2.603677661,2.530946642,4.25512077,2.636109791,4.423264284,3.996949577,2.581479557,2.692776997,2.612210722,2.602700866,2.482101337,2.629540069,2.681489182,2.626257212,2.5931879,5.353132655,2.580739026,2.6170647,5.839010136,4.033818484,2.466932372,4.786892779,2.689981359,4.164076711,4.844628389,2.629066715,4.397036032,2.633822093,2.576883652,4.076835203,3.485631121,2.564341855,5.513407377,3.762877796,4.327592898,3.651083448,2.759353793,5.015982896,2.645263368,2.645263368,2.526553019,3.796872819,4.205900481,2.742027509,4.539363817,2.590870846,3.386989585,3.040758328,3.548972607,3.220320439,2.917057333,3.39577749,3.039749594,3.172901056,2.766198982,3.070862285,3.170658909,3.060321443,2.354762727,2.964996688,3.581131677,2.964296558,3.224510162,2.726334568,2.845257911,2.839298514,3.737027002,3.019248693,4.295653462,3.595446144,3.553693135,3.677325344,3.666356757,3.558773056,3.501679867,3.366059426,2.978800309,2.910948527,3.223818544,3.20190025,3.44908233,3.443691271,2.973597232,3.524297653,4.033709792,2.917725293,2.946636464,3.289886801
28445_at,6.314990435,6.229958978,5.463572989,6.297754335,3.898101494,7.152970563,5.981347839,4.422368776,6.210304221,5.678185984,6.604865775,7.107210285,4.513161655,4.943724217,5.240509746,6.514971621,6.630564515,6.225867723,6.425887178,6.930345975,4.455880945,7.036238862,5.151656105,5.985195254,6.152906333,4.91730952,7.040227411,7.29620762,6.486823007,4.358371405,6.609112744,6.208453818,4.705139386,6.428662533,6.483948886,4.893241562,5.854729812,7.090096615,7.454168588,5.735032526,6.92456931,6.669619007,5.94723564,5.933168163,5.542265703,7.101163125,6.855529936,5.236898199,5.372364106,5.377405508,5.300730716,6.44663181,4.295026517,5.299138602,5.890631476,7.226503901,7.064063442,5.223325028,5.036580479,6.792142653,6.187595185,4.792583784,7.049727513,6.809217168,6.112672142,6.131007243,7.044325721,5.353165341,6.952561585,5.271121288,8.220927423,6.812210816,6.651298152,7.688031367,6.816423245,6.634570264,6.316312149,5.085026404,6.044122886,5.943638622,7.223859059,6.664336962,5.590204667,6.497445935,6.409884713,7.486270094,6.190783923,7.178118047,6.059381892,5.332986582,7.447239096,6.304675993,5.024217541,5.728446286,5.779446919,5.510646876,6.390815964,5.310831179,5.846800635,7.348878789,6.299084535,5.975277303,6.469712975,6.423803828,6.376578117,5.955242661,6.423161882,6.693042534,7.388778322,6.433428598,4.664198262,6.653470862,4.737793421,6.844685257,5.036119059,5.642541352,5.334858503,5.673810024,5.451986737,6.315337913,5.879250424,5.861663336,5.646158591,5.797428961,5.81598836,6.680571352,7.421268329,8.257404653,7.48167589,5.057311348,5.435383064,5.340374379,5.0199152,5.775617963,6.366046438,5.794582687,5.892739468,5.956490267,5.915801165,6.307024374,6.044286629,5.94462236,6.048632078,6.541456859,6.210414897,4.900986462,5.412348303,5.547269865,5.937973548,5.492566446,6.328470633,6.873704337,6.028219469,6.113913452
102724297_at,3.842485108,4.108953474,6.124527667,5.217437491,6.782746951,4.679708148,4.917385284,4.820873822,5.431621738,5.068384597,5.080328559,4.447082304,3.719247959,4.030929385,4.187318526,3.975458592,4.489944778,5.495388805,5.061449545,4.462553123,4.912066939,4.471552287,5.557480373,4.764310012,4.685320541,5.274767669,4.560073528,4.221657735,4.604613256,4.932308018,4.985795498,4.774467184,4.904739233,4.829397104,4.422029127,4.964853125,5.090843544,3.773113794,5.126501293,5.084560856,5.328782977,4.260033194,5.031451488,5.205227302,5.379652557,4.565722365,3.685644372,4.665608885,4.669776201,4.436204526,4.632860358,4.34123063,4.829080597,5.856827896,5.433962206,4.531437691,4.621217416,4.763684657,4.732905086,4.055362115,4.385096933,4.735125492,4.590390815,4.544576572,4.75652969,3.603275972,4.9786702,4.903726872,3.394925867,5.537956465,4.652715871,3.767230906,4.742464797,5.170627858,4.31165933,3.420235351,5.26476305,5.834917364,5.280060545,5.046443038,4.865919503,5.072669576,5.734845432,5.209470759,4.415076287,3.933798942,4.815272294,6.33280714,5.068838805,6.341545083,4.572279226,4.870637843,5.183697191,5.76432193,4.234938525,4.174986155,5.290979232,4.857792853,4.06347408,5.606471888,5.215946518,4.912891688,4.954211045,4.972677562,3.82581844,5.171625598,4.561130494,5.329151031,4.406447942,4.15709882,4.398452156,4.684023345,4.797627292,4.896473027,4.914530968,5.005654352,5.255286101,4.474562791,4.68132226,5.537306429,4.41255681,4.340381064,4.41309829,4.371338492,3.948039038,3.878752998,4.544762502,4.449488709,4.490730392,5.665163092,5.225786615,4.801115871,4.385677188,4.365367184,4.768762381,4.243404562,4.393602371,4.508812101,4.060765085,4.157521108,4.444947683,4.438627542,4.845746507,4.131776638,4.354413507,5.283264407,5.736733152,5.141837258,3.939559506,4.813544488,4.114711334,5.5747721,4.667731467,4.84080361
28935_at,8.625627039,8.326925977,8.183302185,8.185221192,7.928946176,8.570933513,7.687591169,8.87982456,8.864242055,8.5196048,8.535737783,8.86230119,8.613327248,8.555529538,8.657483656,8.646882976,8.851628163,9.62693489,8.881780529,9.0528388,8.298213364,8.644580761,9.354832383,8.390679727,8.460093193,9.131396213,8.981978155,9.338733381,8.708635923,8.962763454,7.964497328,8.426591695,8.631943235,7.039822187,8.091776647,8.158270213,8.193041232,8.058856156,8.57136117,8.475082168,8.97359806,9.045044177,8.500608413,8.653975365,8.502046636,8.156655189,8.982668372,8.108789288,8.626990199,10.17822841,8.363517019,8.812474931,8.537120245,8.158132661,8.542590211,9.721529516,8.573561558,8.158511234,8.002698067,8.556562051,8.244474559,8.117236725,8.187518017,8.747094763,8.51938669,7.472201157,7.965808383,8.400924036,8.749480906,8.955056875,9.551113672,8.335057361,7.90281133,8.976984989,8.702435882,8.025025957,7.932350013,8.089935194,8.881933865,9.297251342,9.67155224,10.54455497,8.515053544,11.1059867,8.44033882,8.857281326,8.834021558,8.505950083,8.991715281,9.16373589,8.745164786,8.747351893,8.657905025,8.453048986,8.323024639,8.410417848,7.892353637,8.980329305,8.284088088,9.223510757,9.344489192,8.836719339,7.943470417,8.473834804,8.351265975,8.286120625,8.932529108,8.348637946,9.016531451,8.999721719,8.325428141,8.7321327,8.379414786,9.070060909,9.012327487,8.284835027,9.611184045,7.768463607,8.188400282,8.505119531,9.462699372,9.834722088,9.297951894,8.866812409,7.721554323,8.483687096,9.046931869,9.29352455,9.608626536,8.377657216,7.556386549,9.318395766,7.885238278,8.679559042,6.658076955,6.634698447,8.549844167,9.558717123,8.203863568,9.401644812,8.955755883,8.399530949,8.267027193,8.501546453,8.718338918,8.339424058,7.503412947,7.829132872,8.799821944,8.445482727,8.799948585,9.366171294,8.296323457,8.492940743
692084_at,12.28940403,12.72233323,11.23316868,12.27174039,11.65008386,11.47163255,11.92597636,12.23141642,11.81006251,11.95208142,11.75768629,12.35530932,12.83912623,11.60100146,12.99303775,11.84106821,12.41225726,11.47183728,11.713958,11.57321564,12.52556707,11.43596925,11.37646773,12.10990315,12.36909568,12.09202145,11.32433089,12.57333052,12.2121979,10.94029145,12.24661796,11.26666285,11.79723343,11.98874122,11.66779231,11.43772154,11.47447822,12.43207776,9.807997995,11.67630651,11.64669902,12.62679753,12.41331159,10.64055951,12.2407548,11.75168993,12.41225726,11.76122106,11.60009101,12.16578859,11.69589531,8.793851748,10.23253925,11.4382957,12.1003894,11.83614131,12.64593129,12.40044102,12.07456981,11.08155522,12.2617776,11.41435345,11.42078031,12.12700579,12.38650195,11.52351931,11.51097601,11.52657166,11.97274542,11.87028669,12.30141204,11.16333376,12.24969917,12.19268512,11.84373486,11.82554127,12.04915357,11.98534374,11.93844981,12.14814473,12.27370517,11.76388771,11.90202932,12.16382381,12.19014476,10.90514824,12.06456459,11.79686628,11.95833006,11.71894318,12.12477677,11.87598667,12.80249024,11.82721917,11.547585,11.9540462,11.54849544,12.24465318,11.67004488,11.64902146,11.66779231,12.00769405,12.39485844,12.11880143,12.34877143,12.18409621,11.65497282,12.19506294,11.80617611,11.72307391,11.33490839,11.69111822,12.52753185,11.903251,11.90730666,11.89706982,11.56574545,11.47031363,11.9076569,11.89706982,11.89633727,11.89812547,12.18826856,11.90668401,12.18791988,11.90639465,11.89846585,11.90406458,11.90736101,11.56624522,11.90557055,11.90707487,11.56208272,11.90500701,11.89829638,11.90500701,11.89577275,11.90349065,11.90695034,11.89880046,11.90428409,11.90500701,11.89577275,11.90460255,11.90761119,11.89760412,11.90349065,11.90707487,11.89596237,11.90470582,11.9076569,11.89846585,12.18849382,12.19189463
