,GSM1437802,GSM1437804,GSM1437806,GSM1437808,GSM1437812,GSM1437814,GSM1437816,GSM1437818,GSM1437820,GSM1437822,GSM1437824,GSM1437826,GSM1437828,GSM1437830,GSM1437833,GSM1437835,GSM1437837,GSM1437839,GSM1437841,GSM1437843,GSM1437847,GSM1437849,GSM1437851,GSM1437853,GSM1437855,GSM1437859,GSM1437863,GSM1437865,GSM1437867,GSM1437869,GSM1437871,GSM1437873,GSM1437875,GSM1437877,GSM1437882,GSM1437884,GSM1437890,GSM1437892,GSM1437896,GSM1437900,GSM1437902,GSM1437904,GSM1437906,GSM1437912,GSM1437914,GSM1437916,GSM1437918,GSM1437920,GSM1437923,GSM1437925,GSM1437929,GSM1437931,GSM1437933,GSM1437939,GSM1437941,GSM1437948,GSM1437950,GSM1437954,GSM1437956,GSM1437958,GSM1437962,GSM1437964,GSM1437966,GSM1437970,GSM1437972,GSM1437974,GSM1437976,GSM1437982,GSM1437984,GSM1437988,GSM1437990,GSM1437994,GSM1437996,GSM1437998,GSM1438000,GSM1438002,GSM1438004,GSM1438006,GSM1438008,GSM1438010,GSM1438012,GSM1438016,GSM1438018,GSM1438020,GSM1438024,GSM1438030,GSM1438034,GSM1438036,GSM1438038,GSM1438040,GSM1438044,GSM1438064,GSM1438066,GSM1438068,GSM1438070,GSM1438076,GSM1438080,GSM1438084,GSM1438086,GSM1438088,GSM1438090,GSM1438092,GSM1438094,GSM1438098,GSM1438100,GSM1438102,GSM1438104,GSM1438106,GSM1438110,GSM1438112,GSM1438114,GSM1438116,GSM1438118,Sample_5,Sample_10,Sample_11,Sample_14,Sample_20,Sample_25,Sample_26,Sample_29,Tarca_834_P9B09,Tarca_827_P9C08,Tarca_849_P8A11,Tarca_145_P2A07,Tarca_153_P2A08,Tarca_672_P7H12,Tarca_648_P7H09_2,Tarca_617_P7A06,Tarca_622_P7F06,Tarca_618_P7B06,Tarca_667_P7C12,Tarca_334_P4F06,Tarca_381_P4E12,Tarca_754_P8B11,Tarca_745_P08A10,Tarca_612_P7D05,Tarca_584_P7H01_2,Tarca_640_P7H08,Tarca_820_P9D07,Tarca_782_P9F02,Tarca_752_P8H10,Tarca_241_P3A07,Tarca_236_P3D06,Tarca_233_P3A06,Tarca_588_P7D02,Tarca_611_P7C05,Tarca_591_P7G02,Tarca_258_P3B09,Tarca_255_P3G08,Tarca_252_P3D08,Tarca_542_P6F08,Tarca_566_P6F11,Tarca_557_P6E10
28475_at,13.01774056,11.57523208,6.472207351,11.92927229,7.416304308,12.82010676,12.36011,11.82528682,7.032534555,7.590311383,6.894059504,7.56670395,6.528193435,7.071012893,11.33277678,12.32457817,12.77161844,8.581744697,7.013902036,7.048993031,11.29742773,12.09755316,6.732385604,11.6086737,7.719077798,12.18814444,7.668428108,12.59302884,11.55757696,7.606306628,6.946427905,6.917604529,6.308127688,6.668333189,7.735378845,11.32110948,7.896500101,6.532993372,7.40506181,6.720220548,11.65993034,12.12812633,11.58698548,6.864890313,7.160922242,11.89895201,7.1048139,11.67083905,6.547656748,13.01434308,11.9148569,12.58731322,6.845118121,7.033421766,7.190009556,13.94343221,7.094452927,7.839011886,11.60580738,11.94573129,6.334088416,12.01266379,6.487185707,11.95042202,5.433643972,12.84383365,7.714410399,6.775943795,7.346420017,6.779586069,7.062496011,11.56356827,11.76692418,12.6998615,7.419196072,6.42453031,11.92534197,7.601784892,7.524426701,8.144183569,9.217523919,6.810874803,7.447782696,7.401275032,8.039460815,6.800822691,6.628198577,6.520803565,7.184936244,7.582339854,13.44340297,11.81661794,11.22261075,7.057937981,6.668064964,7.818097497,6.424808738,7.665761681,12.26926495,7.492417786,12.17027407,12.24004012,11.30201751,11.34139887,7.418663019,7.033421766,7.086374169,6.300491921,7.000045106,7.275280818,6.762715948,11.48343333,12.38360972,9.410413631,8.932710757,8.773263252,8.810073376,9.398449306,9.068682984,9.043047681,9.672091883,8.33897763,8.279906191,8.371243079,9.105794003,9.889439545,8.720189618,8.920209687,9.368087479,9.001374169,8.64623545,8.904551963,7.975234318,8.428333851,9.539607035,9.113215842,7.980984487,7.944216896,7.906018872,9.221977387,9.034389429,8.318233985,8.704915883,8.850486928,8.757507672,8.479481345,8.185114533,8.522125287,9.261673697,8.830275759,8.911467288,9.130309975,8.48953362,8.500433824
102724528_at,5.260457475,7.544134398,8.45150813,5.004610036,8.945277596,7.205727223,7.876507167,9.19670799,7.940677241,8.13674548,8.712675307,4.901091477,7.199037971,7.67585153,5.237693237,5.082191658,7.700199586,8.720159028,4.991074494,8.101662807,8.09049767,8.101300442,8.362722217,7.988437225,7.155495667,8.605574226,4.894841047,7.65290717,9.041935136,5.176348971,7.265191101,7.974843886,4.974435057,4.856308698,7.835938404,5.085387004,8.580172164,6.907198814,7.431734389,8.968201686,7.878232032,7.91064249,6.672380361,5.122335634,8.217867915,4.998822694,7.174930818,7.933435976,8.522859593,6.723797633,4.940405988,7.816083282,8.588286881,4.781385825,9.085306934,4.839033775,4.350571744,8.062007237,4.877279058,4.966055163,7.76713313,5.024060337,8.244384925,7.849218774,8.967803966,6.697350855,3.980523251,7.347075239,6.931086303,8.739231923,7.861295758,7.567107332,9.202575484,7.47899384,6.959216178,5.06665669,7.383463288,9.02359268,5.204045115,8.846306429,8.590976423,7.584713591,4.765214748,4.959725127,7.10823576,7.574868808,7.741617529,5.249879266,7.863050284,5.099011293,8.251481708,4.783308601,4.707980303,8.509575794,4.96660607,6.9891475,4.743190295,8.817938693,6.994213082,4.644306893,5.235428786,7.963015672,8.175590301,8.242407963,6.733246666,4.817275459,8.761050968,4.924200143,5.041709104,7.882810678,8.819736846,8.157386936,8.031265059,7.339198837,6.001788326,6.204376495,6.988233636,6.370159567,5.953457322,6.711822666,6.792181204,5.785251738,5.967247149,6.133603668,6.943459237,6.815803256,6.37026591,5.585873173,5.861462574,8.947140804,9.03158074,8.716565073,7.750449648,5.892445721,9.801469684,9.149784032,6.712236703,6.638463609,7.336223315,4.113118503,4.108361718,7.809879464,7.273413122,6.566468586,7.289354166,7.842907437,7.622436163,7.519191953,6.72862478,7.638362509,6.758202224,6.25592587,6.422410295,6.978858373
647859_at,6.276870756,7.202241046,3.020162306,6.221284028,5.0304003,7.391965001,6.441756287,6.218475828,7.915285193,7.05616618,6.306772599,3.336965086,3.067467404,7.167844292,6.220122834,8.147243429,7.81284906,7.286356216,7.186707766,9.987862056,6.184449012,7.743935399,7.459297174,4.749519598,7.441211755,5.73548288,8.303903744,9.506984061,7.02431662,6.988178952,2.59878302,3.131879292,6.636001944,7.117339296,6.695050072,3.875027951,6.25517384,6.779679381,6.918911171,7.56818213,3.074038582,7.306489993,7.361314769,6.442014585,3.800428677,7.719551365,9.604355169,6.343746932,6.268313313,7.468427857,5.986482641,6.466289173,4.468940331,6.359758801,7.472548654,3.968835641,3.513734007,6.370577623,6.677423804,8.066778282,7.395209552,7.768357491,7.638904908,6.864930764,8.10679709,3.477099229,8.19247642,7.569774789,7.354593534,3.365924294,7.339807792,6.225989317,6.862031244,9.862691682,4.174242589,6.82238407,7.257770666,6.690895767,8.169770384,6.043738283,4.456641804,7.325736998,2.972217894,5.613563192,2.760607546,7.380971564,6.980906357,6.476751646,3.047705743,3.473180878,4.602474211,4.353227504,6.698763554,6.866724365,7.506466828,6.994150716,2.64441557,6.906169577,2.942090466,3.306747973,7.086929243,7.530985563,6.687679635,2.950003202,7.092337549,7.124131939,3.27629825,3.87377249,7.687279697,3.559808841,7.064412179,5.748294554,5.14198532,4.212515877,5.416210761,5.038455783,6.356968905,7.179099742,5.736942212,5.368014622,5.306637036,6.760975738,6.833177726,5.650005409,5.475787611,5.633527435,6.364570285,5.837588673,5.965199302,5.746498621,6.276503517,5.460346795,5.749471943,5.18482773,5.24347355,6.157071973,6.578816332,5.33827286,5.726422762,6.497347487,6.036993518,5.778369147,5.508844592,5.780167688,4.270932977,5.32800254,5.584779103,6.050595177,5.417629315,5.613986411,5.172574195,5.958433822,5.09209527,6.021459504
3050_at,5.607760953,5.376393804,6.2770525,3.593256297,4.556761022,4.633229205,5.82532599,3.178787989,5.450060945,7.360252094,6.132538539,4.709815714,3.437566489,5.946840681,5.616682649,4.567695203,3.809332794,4.18147604,4.300524339,3.7592466,5.633736853,4.817212011,3.737496158,4.592317498,3.052407165,5.32171273,5.3880706,5.340510896,5.22833004,4.280311863,4.671589728,4.085967811,6.453560323,6.588175141,4.938283513,2.899962248,6.869900263,4.959685282,5.861993396,3.825863058,5.894303341,5.464340369,6.416075288,5.991132366,6.145221994,4.809596705,4.361094458,4.12158927,6.373271271,5.292966137,3.842284311,4.698712462,6.277296898,7.127935541,6.585680266,6.342050682,4.954270233,6.06513769,4.644652829,6.047950028,6.837236517,5.358668394,4.595907471,3.591609827,6.615205374,3.545339845,3.812682863,6.459670416,4.322350883,4.163209941,6.540343435,3.953941282,6.007767937,4.805647815,4.683079099,2.976267037,5.203904789,4.718377726,5.907105239,5.836158981,6.552278332,9.046325882,4.184727289,4.469351464,5.676885725,7.652540359,6.85574438,4.152847801,4.856849106,6.143900236,4.278279859,3.568048952,6.698941731,6.362068817,4.851407058,6.533253094,4.88588251,6.231675783,3.919305564,10.57375253,7.644057232,5.864544873,4.562263273,5.385620202,2.577116594,4.414155542,6.52241942,3.889110524,5.383294096,5.565386683,6.872288166,6.399839078,6.74985234,7.919797922,3.24000511,3.131074005,2.302526767,6.404683427,7.809201436,8.973834546,2.384086891,2.512092954,2.391739065,2.373996364,7.026037672,7.753489138,6.262296253,6.806025371,7.077909249,5.725098253,5.116574935,5.437712022,3.493143902,2.851367178,4.793725431,3.193682365,5.327477501,5.506603008,4.853703612,3.976303493,4.009354972,3.386775077,9.045324418,8.25625255,8.60064396,8.627678138,8.447076567,8.381909974,3.232887988,4.634295905,3.709958493,2.772335022,2.399426925,2.879797173
100287029_at,7.820056069,7.207888204,7.800890907,5.09107218,5.500750151,6.268271557,8.226069086,6.922567416,6.862191198,8.4213231,5.391604865,7.575581246,6.709849416,7.685808054,8.100394082,8.548338083,4.704321347,8.039287959,6.90372534,8.346216987,8.089498445,8.24982795,5.649538172,8.263269557,7.889422586,5.941168012,7.70937356,7.563613649,7.710747082,8.153625646,7.245600655,7.740299484,7.752956975,8.175808889,4.904254753,8.276661007,8.325882214,6.368521728,7.968450141,7.898035782,6.270351599,8.182075828,7.636410501,5.617475579,7.972269723,5.513810471,8.436355473,7.400214829,7.126946771,7.389279485,8.19482617,7.996760597,8.463826265,8.098313726,8.629645984,6.158032006,8.048080972,5.336984617,7.647747909,7.875634363,8.373295058,8.014031167,7.49201357,6.12096181,6.797799743,6.095443142,7.134155859,8.809531042,5.382770712,8.442591988,7.249568072,8.283985168,7.998628151,7.829186647,5.846227108,7.365408383,8.651166534,7.980578747,8.938784199,8.580253726,7.515510168,8.154934957,8.284779802,8.444475363,7.219717684,8.219103307,8.070688048,5.267036029,8.300578223,4.636597753,7.709906287,7.300788004,5.719574602,8.168403664,7.81490753,5.574936339,5.04502096,8.546104521,7.28082053,5.521775454,7.49646392,8.14174704,8.527396208,6.857417034,5.637035488,7.683720607,4.718576468,6.284779288,7.607287811,8.839563829,7.99486311,5.94407279,8.724331638,6.605200768,7.401195192,7.497948115,7.19460204,8.076433337,7.853039017,8.557288805,6.404459825,9.377425167,8.626585774,8.241826319,7.095529107,6.466234286,7.739997871,7.453448563,6.665647965,6.864618621,6.704951853,6.497127694,8.958645694,8.236113169,6.350296984,6.433547835,8.670519853,9.179165777,9.595176876,6.003034436,5.787198674,8.47882247,6.713796966,7.086683532,6.939201143,7.887014271,8.363710925,8.333546016,7.050713059,6.498716987,6.582024573,8.073837377,7.262614086,7.240649914
3429_at,4.192492278,5.058723233,6.819852198,5.848226648,6.701952648,5.241484419,4.722901296,7.831331613,5.581946182,5.905561964,5.524855145,4.995754147,4.399347001,5.515973212,5.851399568,4.576469386,5.4552143,5.832903554,4.648844907,5.008559992,5.620890637,4.875060196,6.789333214,5.076163923,5.471883932,6.241939757,5.930090583,6.946461222,5.711667612,6.01347587,5.50635489,5.594845846,5.702635068,4.852046385,4.978250492,6.548998597,5.879939258,4.337160875,5.761930771,5.456103875,7.086291114,4.838721093,6.091675305,5.615819806,5.719768799,4.878879109,4.480978412,5.702884366,5.01943665,4.859696963,5.496644885,4.556172485,6.012483156,6.385049497,7.071347642,6.299362086,5.197949101,5.747923126,5.592617397,6.996413338,6.118991137,5.831190342,5.554294906,5.457252142,5.838059544,4.720743768,5.361748452,5.204730432,4.358422903,5.515973212,10.10073643,5.153695223,5.4218012,5.062879881,9.54416141,4.886013633,6.00373356,6.602348946,7.875025189,7.460555826,4.403472924,9.354666815,6.164557232,6.064454123,4.97920684,9.524752579,5.348796411,6.267569198,5.492359476,7.011976497,5.162676442,5.338686716,6.83222398,7.343177017,4.576675925,5.111383707,6.299661233,5.635877814,5.06095538,7.901370293,7.425413759,5.35248009,7.038962143,5.427300557,4.895448948,5.540125841,5.528888847,6.872563335,5.288592629,4.937350214,4.952710118,5.33059763,8.082139425,6.039371334,5.617903756,5.801183729,4.642693998,5.984528132,5.355414149,6.580333749,5.8593095,4.876582677,5.216241227,4.856805746,4.864752218,4.766108962,5.619305479,5.869640439,6.524024672,4.760442159,4.868071974,7.242458368,6.451767665,7.771223323,7.458562158,6.029036408,5.66586004,6.305600841,5.911580166,4.468621809,4.483535119,5.719830806,5.456685387,4.399658426,5.085016789,5.261220167,5.083017736,5.137027911,7.564725364,7.720370719,6.576195832,6.311079474,5.462206548,5.374485265
100049587_at,8.590308217,9.132641971,9.313044725,8.601848018,5.205413948,9.482609043,8.632030049,9.261631759,9.340545521,9.200916234,8.694030741,9.298165892,9.270728215,9.382171958,9.297826467,9.505873163,8.653159657,8.835780091,8.523395129,9.64024478,9.30664626,8.493185174,8.567363251,9.681885149,8.652262086,9.51765536,9.356843421,9.355552513,8.768954884,9.710694549,9.544521331,9.568212507,9.435852824,9.337641058,8.650124687,9.316858588,9.178883989,9.492739586,9.397389803,9.192436839,9.138778014,8.539676835,9.472552118,9.989306278,8.499003831,8.534746233,9.441000884,9.42907768,8.53112981,9.585213446,9.355968045,9.409206294,9.479401212,8.785103455,8.87517908,8.811802862,8.803578949,9.227727494,9.425542702,8.352155826,8.657334747,9.30287574,9.529619395,8.660269094,9.402460174,8.651590037,9.812606404,9.342719272,8.755338762,9.39297687,9.381304178,8.631300406,10.03035421,8.528542312,9.223331238,9.650714983,9.321148809,9.421728839,8.599644295,9.441275652,8.495189968,9.520711216,8.717209716,8.510023741,8.469046511,9.234928209,8.660438055,4.870359964,9.600233597,8.497116949,8.699705725,8.926501671,9.494913337,9.295503934,8.877088905,9.379472724,8.474602299,9.441000884,9.56475597,4.812949188,8.541950486,9.30434772,8.843320861,4.754393104,9.336364282,9.544941965,9.329788055,8.77467938,9.474725869,9.479628692,8.666386475,8.681793169,8.612073176,9.927037275,8.807661886,8.740773065,8.890339807,9.09789621,9.364456257,9.783852607,9.611278811,8.840512925,8.782236894,8.500170756,9.326635398,9.030009208,9.650420364,9.780565158,9.493820964,8.87800972,8.429814621,8.629458594,9.363503083,9.37692359,8.95657378,9.339353961,8.6334487,8.550441861,8.408950223,8.293220526,8.378856368,9.095963848,9.212901775,9.361409108,9.141208862,9.587185019,9.964986985,9.676708432,8.277587931,8.25120267,8.432382093,8.343679177,8.307768635,8.234282166
100288486_at,7.576600513,7.403419884,8.041346178,7.148449022,7.919957434,7.319532835,7.603885649,7.477480952,7.585225999,8.209261384,7.192708182,7.357819311,6.910319599,7.685981526,7.81863165,8.146783746,6.819860329,7.801049381,7.556048959,8.576014855,7.948099559,7.789189779,7.294639962,7.974654082,7.309090305,6.966081523,7.535069448,7.173262592,7.970890971,8.036466632,7.749776657,7.768848905,7.796380372,7.575352062,7.213934066,7.884278675,8.313863335,7.187465442,7.77417758,7.505670448,7.645343912,7.924811718,7.51998405,7.309858235,7.957307755,7.268878835,8.417516292,7.949093378,7.856134515,7.693407537,7.927708698,7.827277679,7.899850043,8.289628605,8.400017927,7.520207064,7.883185075,7.195663979,7.527932776,7.728734498,8.292909379,7.539302036,7.580381322,7.214359812,7.001380399,7.138806314,7.970366887,8.558567642,7.641787702,8.499153835,7.725503879,7.881402044,7.900521415,7.706552783,7.238613678,7.241718439,8.122925469,7.849143735,8.527593051,8.077459576,7.753862717,7.493258291,8.167344993,8.153429112,7.21285795,7.745516341,7.943901347,7.32226245,8.12685266,7.040999521,7.712204046,7.633331568,6.998111261,8.383992584,7.604052536,7.305964802,7.622751226,8.110062012,7.161455456,7.654409348,7.438635217,8.008620436,8.125387822,7.85810811,7.624112806,7.684909894,7.312885038,7.14794671,7.660470911,8.362202006,7.81433612,7.089102397,8.165754411,7.60924802,8.277430505,8.589891335,8.897801991,8.377615066,8.085762222,8.464410232,6.579636581,8.955999495,8.58806032,8.380269141,7.304189419,6.822812706,7.304899105,7.38727255,7.393163177,7.123259184,6.561711092,6.70279424,8.633891208,8.47758805,7.120178843,6.167193359,9.472049867,9.506067555,9.787107612,5.718824659,5.718943684,8.701707992,7.074959958,6.788071333,7.03779296,8.844593047,8.888890452,8.650227727,7.234538454,7.286005863,6.542110843,8.759977828,7.692380411,7.234884432
10964_at,7.683726666,8.430708963,8.007528333,7.595398487,7.666721181,7.753007671,7.603075816,8.195512731,7.548992458,7.307630116,7.127569392,7.107477608,7.966083613,8.660468195,7.842987583,7.937998513,7.21081482,7.125143828,7.055073179,6.552711451,7.449205502,6.818528013,7.08546524,7.288364474,7.485177166,7.020705714,7.38758924,8.108191232,7.37022172,8.758294639,7.495929461,7.376615629,7.425405752,7.4691429,8.247441785,7.649686424,7.576402675,7.316963575,7.911677465,7.371760342,7.590877803,7.809555924,6.965644403,7.12210111,8.336771156,7.312349732,7.185992632,7.16439591,7.614017949,7.720429268,8.02874661,7.252869834,7.618620344,8.318511194,8.068374805,7.628986136,7.407491099,7.033966809,7.562283215,9.546159894,8.79322338,8.827035477,7.33578582,8.871632564,7.269821168,7.687962356,8.010283862,7.155404773,7.069374738,7.343169697,10.7942749,6.84257936,10.26811039,7.292083277,10.83845062,7.524262461,7.579748455,7.902578237,9.639750916,7.865608769,6.870079242,10.63937502,7.641202663,7.478719299,7.692158516,10.62220442,7.652595771,8.318511194,8.123240766,7.555991241,6.918432322,9.090292976,7.874314287,8.173002838,7.107810926,7.833366788,7.973348891,7.390392065,8.040867474,10.30356786,9.666724385,7.087251166,9.363720544,8.702227576,9.321834554,7.565805073,7.891208451,9.606461994,8.012748606,7.613118699,8.022397651,6.667341458,8.723852195,6.562246433,6.818379461,6.582224183,5.388657349,7.056579643,8.806163346,8.360444127,6.725730787,7.381042897,7.043082949,6.927811394,5.903863717,7.18331489,7.954926021,6.813484726,6.231224495,7.000044645,6.572428278,7.244291609,9.522506235,10.52844707,7.433478764,6.983261447,8.377553533,7.78336411,7.958702047,6.698623126,6.905359216,6.295259928,8.472725337,8.380438138,8.184631597,8.353935975,8.657519578,9.556663164,9.380070451,9.061182039,8.893916915,7.482287536,9.12924383,7.797153286
84771_at,5.076166367,5.267614597,5.799823407,5.30549027,5.791669162,4.932532046,5.569863812,5.227191282,5.352359866,5.221703084,5.164801475,5.774833864,5.427919974,4.527576054,5.174806597,5.624696163,4.441592568,5.922534136,5.583380214,5.990381135,4.970511864,4.507938986,5.753029651,5.161525057,5.646676463,4.912393552,4.863169351,5.515875122,5.726995478,5.792679898,5.932046966,5.60447472,5.153903961,5.325780272,5.235487714,5.963033062,6.074387982,5.080541148,5.399408578,5.484428691,5.874282968,4.914719015,5.502470839,6.017527437,4.893856867,5.890829283,5.408386556,5.942419367,6.18468705,5.191920915,5.942620507,4.992052712,5.984570134,5.235487714,5.261005683,6.006993114,5.806153328,5.322173057,4.583833446,5.62902043,5.319854355,5.330028085,4.977697586,5.401328646,4.867361513,5.949347839,4.633383273,5.117312939,6.030134236,4.941474574,5.736931667,5.179334672,5.245260208,5.775570633,4.963287173,5.094248434,5.985604501,5.33607729,5.526623765,5.87551405,5.849777868,5.257064174,5.622693904,4.553074384,5.118718539,5.936268775,5.914306378,5.026030459,5.790663424,4.114124762,5.076017579,5.553603088,5.813847705,5.720448379,5.272288906,5.436924327,5.029172717,5.494720522,5.328563566,5.321540213,4.761037196,5.519882931,4.427198042,5.415950629,5.914802772,5.186682899,5.23900253,4.840019839,5.623559475,5.191683361,5.457823838,5.857840559,5.454517906,5.460146983,5.480132303,5.050251239,6.489913442,6.049867761,4.720576116,5.939156179,4.739165445,6.17778305,5.733133624,5.898050321,5.458752198,5.453217954,4.881878901,4.94807944,4.657147564,4.797367565,5.271298947,4.821353523,6.17081828,5.446875059,4.763620787,4.486336213,6.554744926,7.601775496,7.478598608,4.555457449,4.491543908,5.568070382,5.402033481,4.381889198,5.168307543,4.901071044,5.794616558,5.382546434,5.022226326,4.755754379,4.755605492,6.400265567,5.978042422,5.87708817
