,GSM1437845,GSM1437886,GSM1437894,GSM1437898,GSM1437908,GSM1437910,GSM1437927,GSM1437937,GSM1437945,GSM1437952,GSM1437960,GSM1437968,GSM1437986,GSM1437992,GSM1438014,GSM1438022,GSM1438026,GSM1438028,GSM1438032,GSM1438042,GSM1438046,GSM1438048,GSM1438050,GSM1438054,GSM1438058,GSM1438060,GSM1438062,GSM1438074,GSM1438082,GSM1438120,GSM1438122,GSM1438124,GSM1438126,Tarca_879_P10G02,Tarca_911_P10G06,Tarca_910_P10F06,Tarca_168_P2H09,Tarca_190_P2F12,Tarca_166_P2F09,Tarca_211_P3C03,Tarca_208_P3H02,Tarca_813_P9E06,Tarca_065_P1F05,Tarca_053_P1E05,Tarca_770_P9B01,Tarca_261_P3E09,Tarca_259_P3C09,Tarca_030_P1C06,Tarca_018_P1B06,Tarca_314_P4B04,Tarca_337_P4A07
28475_at,6.485961114,5.844273113,7.265862741,6.808289325,7.478386511,12.26711463,6.251606513,11.85555979,6.04563851,8.212419099,7.220023507,10.56246002,10.87215385,7.706330341,6.123836781,7.526669641,7.197674382,11.65196823,7.148011553,7.008699649,11.69566925,6.902603741,7.75245743,5.640307165,6.786891365,11.58611985,6.212252307,7.865388184,6.692208985,5.744688195,6.944853619,11.8805492,12.94788245,8.040973169,8.319625889,7.635284584,8.177385784,8.054001639,7.942999587,9.264962175,9.387869324,7.493468491,8.931584763,8.865363882,8.820298609,8.254230134,8.249248136,9.427361673,9.501556872,9.189659277,8.429535424
83857_at,4.610654833,6.817571345,5.661494794,4.790546018,3.654473265,4.925394038,4.981080436,4.999503775,5.631399852,6.006869288,7.182256262,7.035196697,5.204896567,6.39020215,4.939879573,4.790181197,6.312038558,5.993252864,3.282482382,5.972121356,5.762544345,5.72379787,5.357742367,6.378149924,6.269183031,5.838753609,4.513482847,6.528078411,5.132564149,6.655287793,4.901487813,6.478992867,4.151227971,7.243332836,7.064952981,7.808168593,5.763285789,5.666099962,5.974451076,6.085808471,5.888370476,7.102839557,5.452076226,5.23503145,4.992433629,4.50840374,4.581719732,4.945758323,4.736950074,6.859931406,7.36519848
100287029_at,8.619220021,8.733997939,7.916613496,7.775619956,7.707771298,7.49985821,8.193351968,8.108535079,7.567499646,5.163997507,6.18241754,7.672603648,8.354571881,8.081569035,8.093627947,8.184406044,5.449282383,8.809487333,7.346707701,8.120337978,8.318543859,8.204596354,8.458237679,7.284856094,8.875373225,5.869175013,6.579985239,4.687947318,8.395350381,8.911340144,7.845004576,8.404501585,7.124353024,6.237572239,6.56168135,6.313137602,8.359232428,8.271896498,8.856254706,9.320520007,9.155784215,7.370806126,8.236628813,7.904553891,7.919154003,6.432824347,6.509212442,9.694133426,9.253378638,8.946958612,9.749119922
57126_at,7.530450438,7.736773805,8.200655567,7.681095,5.876457119,8.223478787,8.2656584,8.016836811,7.39992707,7.836954761,7.350013533,8.755889066,7.805543019,8.021314724,7.939036494,6.816529711,7.854716902,7.770013568,7.527522879,8.285693248,6.389759197,7.97254983,7.626615233,6.062209305,6.52366944,7.565477965,7.92143267,7.700048573,8.51795766,8.0386308,6.909977824,7.10647497,7.751292123,7.814856519,7.363513523,7.846247996,7.672650854,7.251765311,7.521079545,5.164195206,5.397749807,6.656051026,8.403265746,7.693536496,7.964416425,6.530646324,6.436700451,8.130736638,8.174591675,5.881021001,6.200842703
4317_at,4.749974519,3.485516339,4.307143295,2.447356024,2.754315352,3.810267011,2.683179633,5.275735409,3.014743311,4.305152528,3.980610459,3.106612108,3.284520622,4.625413007,4.416234496,3.066829909,3.677369996,3.306412006,3.503655171,4.144639111,2.673407201,3.284520622,4.181136894,2.270776325,3.599672147,5.058938363,3.400965022,3.055086543,5.185284906,3.936898183,3.93310601,2.810295145,4.519728331,4.815844729,3.801761381,5.463288218,3.813567515,4.036829539,4.563454438,1.835253158,1.412568713,5.425193416,4.261338354,4.31815829,2.462821877,4.320734657,5.16688122,3.848155171,3.986880209,3.553748446,4.125736673
8781_at,2.526427925,3.465238149,2.582251088,2.550619075,2.601458776,2.643315762,4.603395922,2.948814955,2.597742194,3.75366834,2.539767938,2.533148084,2.639544021,2.557853025,2.589028005,2.694895032,3.992008613,2.480702986,2.541167144,4.428911661,4.769909872,2.600480336,2.627207085,2.525443514,2.6054213,2.651382381,2.638188306,2.67217803,2.645379913,2.561233719,2.662876219,2.696203217,4.181141977,3.215447759,3.039825892,3.581382784,3.309356659,3.373664636,3.453985593,2.860895651,2.477371494,3.591478331,2.995553566,3.471633726,2.760087457,3.076260574,3.464915645,2.61475884,2.985491075,3.064153945,3.929507211
28445_at,4.522829639,5.18373856,6.442393953,6.303348322,4.749105947,6.422514797,5.793876596,6.011031622,4.128338337,6.432112081,6.434056294,4.532138599,5.500168211,6.620292679,6.382966062,5.268122002,6.26127457,5.588693748,6.680550736,5.864936707,5.759852693,6.415520838,5.974000956,5.482232432,4.378775146,5.236691538,5.938210953,4.295580796,5.072046225,7.218526206,5.934541188,5.654682743,7.390287811,5.577987156,5.348239035,5.103569363,5.885485068,5.921111578,5.591241655,5.804165765,5.979262609,5.279031031,7.034177577,6.172727047,4.933746335,5.330471352,5.98435751,6.916100415,6.376271723,6.433357283,6.218298385
102724297_at,5.451642754,5.033827598,5.463050362,4.852728068,4.926035549,4.105357388,5.956776873,5.500673098,4.043450234,5.705310574,5.609017567,4.360828808,4.824301546,5.093532065,5.122183818,4.616648043,6.42950625,4.775988844,4.8188556,3.948927283,4.573803114,4.676109857,6.010173728,4.087207101,4.932529071,4.846453686,4.476173246,4.994577271,5.325596186,4.674589813,3.910949564,5.079147015,4.258945427,4.483094572,4.721171607,4.753247125,4.595358551,4.820798289,4.754210948,6.10717996,5.144780375,4.361461104,4.546393256,5.466466913,4.928265528,6.503511908,6.40065915,6.6665314,6.207518506,4.960476313,5.137349903
28935_at,8.422083563,8.292535303,9.530971044,8.202480436,8.392910325,8.828726261,8.377443148,8.147370268,8.563384627,9.344089722,7.516434174,7.971456781,7.729883977,10.06294239,7.640502182,8.757451049,8.867800944,8.185523518,8.580074241,8.510661885,8.482801593,8.19318586,8.993003572,7.965218027,8.172472668,8.080456964,8.547912254,8.254475266,8.181420904,8.20167819,8.604585707,8.12416826,9.005388534,8.810461781,10.58696704,7.876486207,6.527737949,7.921941907,7.454901947,9.12904688,8.536975535,7.634667154,4.959076096,5.571639629,9.643529547,7.777196871,8.825308119,8.755685792,8.729508325,8.700864355,8.802505628
692084_at,11.9040563,11.60526661,12.51110745,11.46350065,12.05460765,12.39847624,11.18728196,12.10715953,12.80835935,11.52537343,11.99500306,9.623545756,11.82377174,12.18770481,11.96872184,12.3193253,11.41898603,11.63201981,12.38911479,11.96559969,11.26695297,11.99116996,11.08623849,10.89836809,11.40946915,11.73563656,12.46596279,11.73904266,11.67787926,11.41898603,12.50508592,11.96251256,12.36865896,9.924058413,9.949612034,10.1195108,9.877189589,9.851237885,10.01399727,11.90349065,11.90707487,11.90395268,11.90500701,11.90668401,11.90713497,11.57218766,11.90774402,11.90460255,11.57489079,11.90223486,11.90688591
