,GSM1437810,GSM1437857,GSM1437861,GSM1437880,GSM1437888,GSM1437943,GSM1437978,GSM1437980,GSM1438052,GSM1438056,GSM1438072,GSM1438078,GSM1438096,GSM1438108,Tarca_205_P3E02,Tarca_203_P3C02,Tarca_742_P8F09,Tarca_765_P8E12,Tarca_739_P8C09,Tarca_107_P2C02,Tarca_128_P2H04,Tarca_106_P2B02,Tarca_271_P3G10,Tarca_269_P3E10,Tarca_600_P7H03,Tarca_597_P7E03,Tarca_492_P6D02,Tarca_920_P10H07,Tarca_919_P10G07,Tarca_918_P10F07
28475_at,5.320580178,6.910995319,11.55757696,6.925593042,7.508270811,6.347587086,11.67627121,6.525020839,6.413296927,6.908021789,6.826978634,11.4410937,6.545753735,6.908656353,8.997976761,8.657484192,8.565218832,8.419366448,8.061248842,8.390134539,8.350620814,9.6529653,8.843944,7.929534833,8.695603754,10.01707848,7.105971139,7.58597328,7.799787434,7.681523744
102724528_at,8.698207919,4.814143246,8.480379909,4.976104971,8.163848514,7.850356551,6.474342911,7.191169325,7.476704941,5.282204768,7.03265074,4.843212996,6.981865693,8.821160404,6.847696508,6.002179908,3.890310064,3.995880136,3.94681791,6.166029304,7.282777093,8.832579543,6.096140919,6.864961113,5.454577012,6.248400782,7.109881056,3.628217894,3.685197931,3.419489486
647859_at,8.215296023,8.487085456,3.862370685,6.509628516,7.495368977,6.777781277,7.777715315,7.621567198,7.230369451,6.641022962,7.029820754,6.630187802,7.211761346,6.305778185,5.835719341,6.172082919,6.501989059,6.776049446,6.783718208,5.730282966,7.466929744,5.579716288,4.628428968,3.248127558,6.255592151,5.688150973,5.568739707,9.316685048,9.319096288,9.198410745
3050_at,7.269397191,2.611050837,4.486770689,5.289703153,5.496154729,4.033550451,4.718108626,3.808583106,4.407193863,5.844264117,3.758190943,3.827946276,3.489907366,4.571052602,5.52119038,4.832336799,4.809514038,4.747801052,4.73360665,3.27902772,3.90959372,10.0241624,6.818216487,6.312721688,3.021181395,3.215884565,4.712188211,2.979576564,3.390498807,2.766608575
100287029_at,8.297074658,5.672135833,7.1335952,5.7615792,9.161755407,7.409556261,9.156967483,7.861631743,7.13720432,8.817084916,8.720141476,5.398092547,7.670198495,8.587678257,8.588222145,9.107184764,7.966400371,8.32080874,8.454941127,8.446903189,8.353812,7.637862551,7.604972647,6.763569,8.082285713,9.104897503,6.385766039,9.38487345,9.029145006,9.690358925
3429_at,5.719212954,5.046439225,5.338361322,5.899645538,5.347040921,5.961802325,9.174315431,4.588158142,5.169728023,7.062506805,6.785993268,6.507966418,5.37879742,6.584868274,6.163067196,6.079491316,6.135538971,5.341912175,5.499382953,8.893497356,4.856066902,7.164915597,7.396068161,7.262986129,8.941105077,9.50493148,6.778535383,5.067450498,5.487132763,5.285051053
100049587_at,9.371541896,8.684844335,5.443465144,8.659533439,8.95454163,9.341454921,9.4555126,9.552108852,3.993740707,3.736362205,9.630411082,8.889287378,9.301804625,9.237541034,9.62696321,9.412125759,9.218855311,9.239469211,9.437594073,8.929049689,8.559238082,9.313259793,5.082523516,5.088437194,9.411119188,9.096984771,9.172143807,9.489011266,9.514962465,9.25284762
100288486_at,7.982375271,7.642335176,7.418950348,7.105572789,8.436772488,7.687860281,8.372654704,7.893273154,7.349815365,8.659117611,8.640176722,7.513063992,7.216328379,8.218506515,8.215594452,9.077323398,8.278429044,8.331936343,8.579191594,8.461598359,8.778609521,7.867009961,7.875470457,7.726803168,8.666269705,8.691127061,6.640463044,9.750084868,9.627330735,9.52354892
10964_at,7.888167915,7.47987121,8.17099162,8.294135963,7.956352147,8.821268565,9.833204029,7.082522962,7.577139805,7.826044984,7.518040239,8.525082232,9.395706412,8.155615675,7.384814591,7.388590705,7.660358191,7.481436717,7.47890139,10.78805197,7.507077332,7.798216771,8.36333069,8.399852682,11.48804953,11.65021239,8.732873976,7.459099995,7.151390984,7.363432945
84771_at,5.3176926,5.724075021,5.494663706,5.003744555,6.146404782,5.659188377,5.796269001,5.741916889,5.710321047,6.361101936,5.77380576,5.664264366,5.667068991,6.172462046,6.40340326,6.896845302,5.485911121,5.395397347,5.724774237,5.877380015,5.778398647,5.154965149,5.452719906,5.24201823,5.863422602,6.324132527,5.042412307,6.382019592,5.923311336,5.689979615
